,회사명,거래소코드,회계년도
510,(주)유니드,14830,2020/12
511,(주)유니드,14830,2021/12
512,(주)유니드,14830,2022/12
513,(주)유니드,14830,2023/12
514,(주)유유제약,220,2020/12
515,(주)유유제약,220,2021/12
516,(주)유유제약,220,2022/12
517,(주)유유제약,220,2023/12
518,(주)유한양행,100,2020/12
519,(주)유한양행,100,2021/12
520,(주)유한양행,100,2022/12
521,(주)유한양행,100,2023/12
522,(주)이노션,214320,2020/12
523,(주)이노션,214320,2021/12
524,(주)이노션,214320,2022/12
525,(주)이노션,214320,2023/12
526,(주)인팩,23810,2020/12
527,(주)인팩,23810,2021/12
528,(주)인팩,23810,2022/12
529,(주)인팩,23810,2023/12
530,(주)제이에스코퍼레이션,194370,2020/12
531,(주)제이에스코퍼레이션,194370,2021/12
532,(주)제이에스코퍼레이션,194370,2022/12
533,(주)제이에스코퍼레이션,194370,2023/12
534,(주)제일기획,30000,2020/12
535,(주)제일기획,30000,2021/12
536,(주)제일기획,30000,2022/12
537,(주)제일기획,30000,2023/12
538,(주)제주항공,89590,2020/12
539,(주)제주항공,89590,2021/12
540,(주)제주항공,89590,2022/12
541,(주)제주항공,89590,2023/12
542,(주)조흥,2600,2022/12
543,(주)조흥,2600,2023/12
544,(주)종근당,185750,2020/12
545,(주)종근당,185750,2021/12
546,(주)종근당,185750,2022/12
547,(주)종근당,185750,2023/12
548,(주)주성코퍼레이션,109070,2020/12
549,(주)주성코퍼레이션,109070,2021/12
550,(주)주성코퍼레이션,109070,2022/12
551,(주)주성코퍼레이션,109070,2023/12
552,(주)지누스,13890,2020/12
553,(주)지누스,13890,2021/12
554,(주)지누스,13890,2022/12
555,(주)지누스,13890,2023/12
556,(주)지에스,78930,2020/12
557,(주)지에스,78930,2021/12
558,(주)지에스,78930,2022/12
559,(주)지에스,78930,2023/12
560,(주)지에스글로벌,1250,2020/12
561,(주)지에스글로벌,1250,2021/12
562,(주)지에스글로벌,1250,2022/12
563,(주)지에스글로벌,1250,2023/12
564,(주)지에스리테일,7070,2020/12
565,(주)지에스리테일,7070,2021/12
566,(주)지에스리테일,7070,2022/12
567,(주)지에스리테일,7070,2023/12
568,(주)진양홀딩스,100250,2020/12
569,(주)진양홀딩스,100250,2021/12
570,(주)진양홀딩스,100250,2022/12
571,(주)진양홀딩스,100250,2023/12
572,(주)청호ICT,12600,2020/12
573,(주)청호ICT,12600,2021/12
574,(주)청호ICT,12600,2022/12
575,(주)청호ICT,12600,2023/12
576,(주)카카오,35720,2020/12
577,(주)카카오,35720,2021/12
578,(주)카카오,35720,2022/12
579,(주)카카오,35720,2023/12
580,(주)카카오페이,377300,2020/12
581,(주)카카오페이,377300,2021/12
582,(주)카카오페이,377300,2022/12
583,(주)카카오페이,377300,2023/12
584,(주)케이씨씨,2380,2020/12
585,(주)케이씨씨,2380,2021/12
586,(주)케이씨씨,2380,2022/12
587,(주)케이씨씨,2380,2023/12
588,(주)케이씨씨글라스,344820,2021/12
589,(주)케이씨씨글라스,344820,2022/12
590,(주)케이씨씨글라스,344820,2023/12
591,(주)케이씨티시,9070,2020/12
592,(주)케이씨티시,9070,2021/12
593,(주)케이씨티시,9070,2022/12
594,(주)케이씨티시,9070,2023/12
595,(주)케이에스에스해운,44450,2020/12
596,(주)케이에스에스해운,44450,2021/12
597,(주)케이에스에스해운,44450,2022/12
598,(주)케이에스에스해운,44450,2023/12
599,(주)케이이씨,92220,2020/12
600,(주)케이이씨,92220,2021/12
601,(주)케이이씨,92220,2022/12
602,(주)케이이씨,92220,2023/12
603,(주)케이티,30200,2020/12
604,(주)케이티,30200,2021/12
605,(주)케이티,30200,2022/12
606,(주)케이티,30200,2023/12
607,(주)케이티씨에스,58850,2020/12
608,(주)케이티씨에스,58850,2021/12
609,(주)케이티씨에스,58850,2022/12
610,(주)케이티씨에스,58850,2023/12
611,(주)케이티앤지,33780,2020/12
612,(주)케이티앤지,33780,2021/12
613,(주)케이티앤지,33780,2022/12
614,(주)케이티앤지,33780,2023/12
615,(주)코리아써키트,7810,2020/12
