,회사명,거래소코드,회계년도,단기차입금,유동성장기부채,사채,장기차입금,법인세비용,자본,부채,이자비용,세후타인자본비용
148,(주)동양고속,84670,2020/12,21000000.0,3015986.0,0.0,0.0,-3294757.0,107047437.0,60838463.0,643590.0,0.026798400032378433
149,(주)동양고속,84670,2021/12,42000000.0,3015986.0,0.0,0.0,-6574170.0,84514491.0,84315064.0,1163999.0,0.025857458725884623
150,(주)동양고속,84670,2022/12,56500000.0,3565184.0,0.0,0.0,-2970352.0,75242450.0,90255924.0,2201983.0,0.03665988936286285
151,(주)동양고속,84670,2023/12,55000000.0,4554239.0,0.0,0.0,738034.0,69064045.0,99329870.0,4172353.0,0.07005971480888204
152,(주)동원에프앤비,49770,2020/12,75000000.0,70986698.0,0.0,0.0,25325138.0,746945394.0,936989278.0,15194150.0,0.10407900314314938
153,(주)동원에프앤비,49770,2021/12,133478710.0,195914203.0,0.0,0.0,26431089.0,798821029.0,1136863167.0,14524852.0,0.04409582424743911
154,(주)동원에프앤비,49770,2022/12,157000000.0,141969209.0,0.0,0.0,27741542.0,883805291.0,1187905520.0,17595037.0,0.05885233820182466
155,(주)동원에프앤비,49770,2023/12,235961480.0,181525268.0,0.0,0.0,37949836.0,973199406.0,1232947132.0,26848621.0,0.06431011553928413
156,(주)드림텍,192650,2020/12,89631539.0,7537012.0,0.0,0.0,207183.0,302250970.0,302024085.0,3767338.0,0.038771165785934175
157,(주)드림텍,192650,2021/12,114371251.0,13900000.0,0.0,0.0,9753598.0,388765720.0,344213371.0,3573308.0,0.027857434710759934
158,(주)드림텍,192650,2022/12,121651579.0,12200000.0,0.0,0.0,20515708.0,501654718.0,323702374.0,5722520.0,0.042752726884155774
159,(주)드림텍,192650,2023/12,126355307.0,13371000.0,0.0,0.0,15444152.0,508036065.0,287299288.0,9116433.0,0.06524492914566188
160,(주)디비아이엔씨,12030,2020/12,3893183.0,64617380.0,0.0,0.0,5392319.0,313704547.0,158786944.0,5735434.0,0.08371605412146445
161,(주)디비아이엔씨,12030,2021/12,4120000.0,0.0,0.0,0.0,6348045.0,437784123.0,164214797.0,4819935.0,1.1698871359223302
162,(주)디비아이엔씨,12030,2022/12,6309634.0,34932539.0,0.0,0.0,5356768.0,284983494.0,129333891.0,4172562.0,0.10117221514976915
163,(주)디비아이엔씨,12030,2023/12,178096661.0,0.0,0.0,0.0,5378796.0,395210861.0,484173981.0,3804745.0,0.02136337075965731
164,(주)디아이,3160,2020/12,29499668.0,1082391.0,0.0,0.0,1326208.0,136488940.0,92401937.0,1237694.0,0.04047124492173663
165,(주)디아이,3160,2021/12,26280480.0,6749859.0,0.0,0.0,3216500.0,152058573.0,96098088.0,1257855.0,0.03808180715311459
166,(주)디아이,3160,2022/12,29200000.0,13695166.0,0.0,0.0,24379.0,163379236.0,111206587.0,2175764.0,0.05072282503814066
167,(주)디아이,3160,2023/12,39500000.0,10813050.0,0.0,0.0,2497293.0,161249418.0,119340064.0,3282975.0,0.06525096371617305
168,(주)디아이씨,92200,2020/12,230541517.0,38758728.0,0.0,0.0,1326174.0,70642455.0,533974825.0,18936088.0,0.07031589592501114
169,(주)디아이씨,92200,2021/12,201943608.0,46021565.0,0.0,0.0,-3136826.0,132520163.0,496346185.0,12291515.0,0.04956952160374554
170,(주)디아이씨,92200,2022/12,186958325.0,27552683.0,0.0,0.0,10400859.0,143552472.0,504681102.0,13979633.0,0.06516976974906574
171,(주)디아이씨,92200,2023/12,196411971.0,36975305.0,0.0,0.0,8655519.0,160517010.0,523567832.0,15019901.0,0.06435612625257257
172,(주)디알비동일,4840,2020/12,146729121.0,20602690.0,0.0,0.0,7278015.0,463615282.0,312819481.0,4588015.0,0.027418665778977315
173,(주)디알비동일,4840,2021/12,192711014.0,30312125.0,0.0,0.0,-5069299.0,475555752.0,356400810.0,4892495.0,0.021937163210674744
174,(주)디알비동일,4840,2022/12,261081289.0,25979354.0,0.0,0.0,5574075.0,479768685.0,465469810.0,9815191.0,0.034192047009384004
175,(주)디알비동일,4840,2023/12,235490377.0,18501310.0,0.0,0.0,13454478.0,498109854.0,465541738.0,16796439.0,0.06612987691994818
176,(주)디엔오토모티브,7340,2020/12,121971560.0,7498974.0,0.0,0.0,16064190.0,654677184.0,307077824.0,2862511.0,0.022109362737315966
177,(주)디엔오토모티브,7340,2021/12,393468486.0,6069637.0,0.0,0.0,24151230.0,713972881.0,770989552.0,4891145.0,0.012241998243556849
178,(주)디엔오토모티브,7340,2022/12,521110576.0,167555972.0,0.0,0.0,68612347.0,1131508560.0,3460082192.0,114446739.0,0.16618600007851694
179,(주)디엔오토모티브,7340,2023/12,542662849.0,183618688.0,0.0,0.0,106706543.0,1394417749.0,3172968753.0,142462887.0,0.19615380502230775
180,(주)마니커,27740,2020/12,37571000.0,30348495.0,0.0,0.0,0.0,71886482.0,120212238.0,4054182.0,0.059690991518709026
181,(주)마니커,27740,2021/12,59170000.0,4053760.0,0.0,0.0,6440711.0,47292991.0,149174030.0,3444999.0,0.0544889927457652
182,(주)마니커,27740,2022/12,37370000.0,20344178.0,0.0,0.0,-2364504.0,48976892.0,125649245.0,2802944.0,0.04856595202655403
183,(주)마니커,27740,2023/12,41770000.0,4019160.0,0.0,0.0,-1996.0,45895286.0,114478213.0,2825843.0,0.06171423542165875
184,(주)모나미,5360,2020/12,29148720.0,13490101.0,0.0,0.0,566678.0,89789337.0,105892494.0,3072750.0,0.07206460985401074
185,(주)모나미,5360,2021/12,27564186.0,9863144.0,0.0,0.0,6364921.0,104547411.0,97960469.0,2203923.0,0.05888539203838478
186,(주)모나미,5360,2022/12,39810312.0,27522914.0,0.0,0.0,563346.0,106609399.0,111823225.0,3151050.0,0.04679784687577571
187,(주)모나미,5360,2023/12,53659873.0,17242564.0,0.0,0.0,518975.0,98778064.0,97140753.0,5658401.0,0.07980545153899295
188,(주)모토닉,9680,2020/12,0.0,0.0,0.0,0.0,562504.0,414634249.0,27803338.0,28442.0,inf
189,(주)모토닉,9680,2021/12,0.0,0.0,0.0,0.0,6688627.0,418819258.0,29163386.0,41479.0,inf
