,회사명,거래소코드,회계년도,유형자산,무형자산,비유동생물자산,기타비유동자산,재고자산,투하자산
222,(주)사조대림,3960,2022/12,425413748.0,8719593.0,0.0,4914316.0,327846805.0,766894462.0
223,(주)사조대림,3960,2023/12,415245466.0,7654622.0,0.0,684291.0,283003401.0,706587780.0
224,(주)삼양사,145990,2020/12,1120872269.0,42252454.0,0.0,718463.0,289298836.0,1453142022.0
225,(주)삼양사,145990,2021/12,1137936431.0,63027028.0,0.0,1374900.0,409694328.0,1612032687.0
226,(주)삼양사,145990,2022/12,1158049224.0,62129735.0,0.0,18128911.0,420581354.0,1658889224.0
227,(주)삼양사,145990,2023/12,1221611466.0,54871826.0,0.0,9963481.0,393118763.0,1679565536.0
228,(주)삼양홀딩스,70,2020/12,1458210100.0,66292046.0,0.0,3352234.0,332597626.0,1860452006.0
229,(주)삼양홀딩스,70,2021/12,1616372063.0,124282979.0,0.0,1396674.0,500525433.0,2242577149.0
230,(주)삼양홀딩스,70,2022/12,1615969942.0,121548284.0,0.0,21853992.0,530619872.0,2289992090.0
231,(주)삼양홀딩스,70,2023/12,1730068464.0,115790512.0,0.0,13857103.0,516517795.0,2376233874.0
232,(주)삼익악기,2450,2020/12,223935590.0,47440342.0,0.0,0.0,86228568.0,357604500.0
233,(주)삼익악기,2450,2021/12,219537952.0,39839800.0,0.0,0.0,95114927.0,354492679.0
234,(주)삼익악기,2450,2022/12,210173825.0,37574119.0,0.0,2170217.0,81638782.0,331556943.0
235,(주)삼익악기,2450,2023/12,233396835.0,39653519.0,0.0,6851494.0,63856751.0,343758599.0
236,(주)삼천리,4690,2020/12,2187070806.0,25804979.0,0.0,139699102.0,19883491.0,2372458378.0
237,(주)삼천리,4690,2021/12,2213794425.0,24732783.0,0.0,146160651.0,16127678.0,2400815537.0
238,(주)삼천리,4690,2022/12,2265149998.0,22925810.0,0.0,170162632.0,65870667.0,2524109107.0
239,(주)삼천리,4690,2023/12,2245011166.0,20971152.0,0.0,168786360.0,38896299.0,2473664977.0
240,(주)서연이화,200880,2020/12,835880494.0,14225081.0,0.0,62433001.0,114991500.0,1027530076.0
241,(주)서연이화,200880,2021/12,857367158.0,12058839.0,0.0,65736676.0,127967605.0,1063130278.0
242,(주)서연이화,200880,2022/12,797720535.0,10574068.0,0.0,73549666.0,152463337.0,1034307606.0
243,(주)서연이화,200880,2023/12,1035599083.0,90302682.0,0.0,93331391.0,215483063.0,1434716219.0
244,(주)서흥,8490,2020/12,404301758.0,7523002.0,0.0,10634541.0,166377902.0,588837203.0
245,(주)서흥,8490,2021/12,411920528.0,7092928.0,0.0,10548173.0,181994990.0,611556619.0
246,(주)서흥,8490,2022/12,427930145.0,5927795.0,0.0,10209881.0,236814966.0,680882787.0
247,(주)서흥,8490,2023/12,444515566.0,6005686.0,0.0,13951549.0,259841636.0,724314437.0
248,(주)선진,136490,2020/12,422512598.0,7008176.0,12050826.0,60222180.0,135247291.0,637041071.0
249,(주)선진,136490,2021/12,429653889.0,5647562.0,14232534.0,71898450.0,161844689.0,683277124.0
250,(주)선진,136490,2022/12,438101295.0,5955243.0,17345623.0,74845490.0,219196267.0,755443918.0
