회사명,거래소코드,회계년도,[제조]      단기차입금(*)(IFRS연결),[제조]      유동성장기부채(*)(IFRS연결),[제조]            사채(IFRS연결),[제조]            장기차입금(IFRS연결),[제조]   이자비용(IFRS연결),[제조]   이자비용(IFRS연결),[제조]   이자비용(IFRS연결),[제조]   이자비용(IFRS연결),[제조]법인세비용(IFRS연결),[제조]자본(*)(IFRS연결),[제조]부채(*)(IFRS연결)
(주)동양고속,084670,2023/12,55000000,4554239,0,0,0,0,0,4172353,738034,69064045,99329870
(주)동원에프앤비,049770,2020/12,75000000,70986698,0,0,0,0,0,15194150,25325138,746945394,936989278
(주)동원에프앤비,049770,2021/12,133478710,195914203,0,0,0,0,0,14524852,26431089,798821029,1136863167
(주)동원에프앤비,049770,2022/12,157000000,141969209,0,0,0,0,0,17595037,27741542,883805291,1187905520
(주)동원에프앤비,049770,2023/12,235961480,181525268,0,0,0,0,0,26848621,37949836,973199406,1232947132
(주)동인기연,111380,2020/12,,,,,,,,,,,
(주)동인기연,111380,2021/12,,,,,,,,,,,
(주)동인기연,111380,2022/12,46432500,930488,0,0,0,0,0,6009430,8580381,51605117,146889417
(주)두산,000150,2020/12,6295837988,2430709001,0,27010000,0,0,0,554422000,71359558,7709528730,22408094226
(주)두산,000150,2021/12,4725060884,1269672140,0,53000000,0,0,0,369626000,249552158,8497052937,17512799235
(주)두산,000150,2022/12,1862739580,1039417025,0,0,0,0,0,364849000,211331878,10297815766,16017536857
(주)두올,016740,2020/12,52670867,7294825,0,0,0,0,0,3176169,7452229,183419236,222317127
(주)두올,016740,2021/12,50094536,2698227,0,0,0,0,0,3282107,8710887,197312679,226828876
(주)두올,016740,2022/12,50319502,30231518,0,0,0,0,0,3631297,5330209,198173170,263998120
(주)두올,016740,2023/12,55818275,1519136,0,0,0,0,0,3810699,15534691,215587696,261501986
(주)드림텍,192650,2020/12,89631539,7537012,0,0,0,0,0,3767338,207183,302250970,302024085
(주)드림텍,192650,2021/12,114371251,13900000,0,0,0,0,0,3573308,9753598,388765720,344213371
(주)드림텍,192650,2022/12,121651579,12200000,0,0,0,0,0,5722520,20515708,501654718,323702374
(주)드림텍,192650,2023/12,126355307,13371000,0,0,0,0,0,9116433,15444152,508036065,287299288
(주)디비아이엔씨,012030,2020/12,3893183,64617380,0,0,0,0,0,5735434,5392319,313704547,158786944
