,회사명,거래소코드,회계년도,매출액,판관비,매출원가,법인세비용,ROIC,법인세비율
146,(주)동양,1520,2022/12,767681538.0,74598644.0,685158029.0,5433587.0,2491278.0,68.56377995082566
147,(주)동양,1520,2023/12,866327009.0,74316664.0,765461719.0,12836298.0,13712328.0,48.350140606146624
148,(주)동양고속,84670,2020/12,83541287.0,10066327.0,95597957.0,-3294757.0,-18828240.0,14.89290533285341
149,(주)동양고속,84670,2021/12,81175925.0,9630524.0,93568795.0,-6574170.0,-15449224.0,29.850848602172764
150,(주)동양고속,84670,2022/12,104429015.0,10248338.0,105397648.0,-2970352.0,-8246619.0,26.480874382219582
151,(주)동양고속,84670,2023/12,119970716.0,9723934.0,110534663.0,738034.0,-1025915.0,-256.3677352795079
152,(주)동원에프앤비,49770,2020/12,3170259267.0,604419332.0,2449533286.0,25325138.0,90981511.0,21.77445418447229
153,(주)동원에프앤비,49770,2021/12,3490623257.0,667539020.0,2692698464.0,26431089.0,103954684.0,20.271451702019665
154,(주)동원에프앤비,49770,2022/12,4023577594.0,736579832.0,3158297937.0,27741542.0,100958283.0,21.55522899895163
155,(주)동원에프앤비,49770,2023/12,4360844417.0,776150591.0,3417979554.0,37949836.0,128764436.0,22.763399644632702
156,(주)드림텍,192650,2020/12,1045847643.0,63612593.0,962540046.0,207183.0,19487821.0,1.0519571359315285
157,(주)드림텍,192650,2021/12,1231623291.0,69185302.0,1066333140.0,9753598.0,86351251.0,10.148913505914775
158,(주)드림텍,192650,2022/12,1368643532.0,85642685.0,1186334764.0,20515708.0,76150375.0,21.22327435156341
159,(주)드림텍,192650,2023/12,1030380774.0,82672238.0,913662971.0,15444152.0,18601413.0,45.36318313413216
160,(주)디비아이엔씨,12030,2020/12,272445840.0,36267770.0,209303874.0,5392319.0,21481877.0,20.06504306212547
161,(주)디비아이엔씨,12030,2021/12,326914605.0,38345200.0,265096737.0,6348045.0,17124623.0,27.044411823998875
162,(주)디비아이엔씨,12030,2022/12,401345502.0,43169908.0,334566971.0,5356768.0,18251855.0,22.689879032758498
163,(주)디비아이엔씨,12030,2023/12,458583863.0,47740097.0,373820998.0,5378796.0,31643972.0,14.528346448866277
164,(주)디아이,3160,2020/12,162257537.0,44868221.0,111867418.0,1326208.0,4195690.0,24.01724914150895
165,(주)디아이,3160,2021/12,226567361.0,49340483.0,160750738.0,3216500.0,13259640.0,19.52216963439252
166,(주)디아이,3160,2022/12,231004368.0,54599731.0,165251193.0,24379.0,11129065.0,0.2185782257031998
167,(주)디아이,3160,2023/12,214541935.0,53410857.0,154991448.0,2497293.0,3642337.0,40.674975527841255
168,(주)디아이씨,92200,2020/12,493387380.0,39280839.0,525068686.0,1326174.0,-72288319.0,-1.868847115599451
169,(주)디아이씨,92200,2021/12,590132046.0,40200189.0,522637069.0,-3136826.0,30431614.0,-11.492399208229791
170,(주)디아이씨,92200,2022/12,695890222.0,41707885.0,622895551.0,10400859.0,20885927.0,33.24361601092551
171,(주)디아이씨,92200,2023/12,728664903.0,45973301.0,646583166.0,8655519.0,27452917.0,23.970905303126397
172,(주)디알비동일,4840,2020/12,496638329.0,87506951.0,388081418.0,7278015.0,13771945.0,34.57495881227327
173,(주)디알비동일,4840,2021/12,551337200.0,106593973.0,444165665.0,-5069299.0,5646861.0,-877.7064626827942
174,(주)디알비동일,4840,2022/12,661814016.0,133872623.0,515831073.0,5574075.0,6536245.0,46.02747904266774
175,(주)디알비동일,4840,2023/12,737777768.0,109307331.0,592624492.0,13454478.0,22391467.0,37.534170182987225
176,(주)디엔오토모티브,7340,2020/12,823880444.0,57477278.0,694995258.0,16064190.0,55343718.0,22.49637393102176
177,(주)디엔오토모티브,7340,2021/12,930752730.0,60483131.0,780624256.0,24151230.0,65494113.0,26.94086406697111
178,(주)디엔오토모티브,7340,2022/12,3156376224.0,311171217.0,2423676521.0,68612347.0,352916139.0,16.27703685012642
179,(주)디엔오토모티브,7340,2023/12,3269243065.0,335294007.0,2443559361.0,106706543.0,383683154.0,21.75954014792444
180,(주)마니커,27740,2020/12,214794627.0,22343393.0,223392724.0,0.0,-30941490.0,-0.0
181,(주)마니커,27740,2021/12,252727007.0,23953374.0,241811369.0,6440711.0,-19478447.0,-49.400532423727554
182,(주)마니커,27740,2022/12,320551281.0,25290605.0,302225883.0,-2364504.0,-4600703.0,33.94736150698752
183,(주)마니커,27740,2023/12,339611585.0,26769344.0,310627694.0,-1996.0,2216543.0,-0.090131299990472
184,(주)모나미,5360,2020/12,127762923.0,40941241.0,86781570.0,566678.0,-526566.0,1412.739329876346
185,(주)모나미,5360,2021/12,132235899.0,41968356.0,85203412.0,6364921.0,-1300790.0,125.68634184226278
186,(주)모나미,5360,2022/12,149532210.0,46528431.0,96726583.0,563346.0,5713850.0,8.974484785882105
187,(주)모나미,5360,2023/12,141452793.0,48165459.0,95555676.0,518975.0,-2787317.0,-22.87904557601984
188,(주)모토닉,9680,2020/12,178557667.0,12459644.0,154735729.0,562504.0,10799790.0,4.950620006840168
189,(주)모토닉,9680,2021/12,196083916.0,13175009.0,168553452.0,6688627.0,7666828.0,46.59292930805746
190,(주)모토닉,9680,2022/12,223860213.0,15492447.0,194585032.0,7403029.0,6379705.0,53.71234038181394
191,(주)모토닉,9680,2023/12,244258778.0,17811566.0,211297029.0,5092250.0,10057933.0,33.611805217138304
192,(주)무학,33920,2020/12,139351805.0,53064184.0,84247878.0,5116890.0,-3077147.0,250.8595445602706
193,(주)무학,33920,2021/12,126928340.0,46662726.0,81156543.0,-3319159.0,2428230.0,372.5503379057142
194,(주)무학,33920,2022/12,152832445.0,51283657.0,85905650.0,-2249452.0,17892590.0,-14.37980026769565
195,(주)무학,33920,2023/12,146573701.0,45633831.0,84776928.0,17956111.0,-1793169.0,111.0943230508406
196,(주)백산,35150,2020/12,383111246.0,65872648.0,313284064.0,5404818.0,-1450284.0,136.6739545038682
197,(주)백산,35150,2021/12,371076933.0,44668636.0,303163144.0,10114966.0,13130187.0,43.51430166968572
198,(주)백산,35150,2022/12,475895241.0,44693781.0,380905483.0,9933521.0,40362456.0,19.75013031360341
199,(주)백산,35150,2023/12,417721810.0,43336473.0,321239183.0,11343754.0,41802400.0,21.344449496759445
200,(주)보령,3850,2020/12,561866592.0,191455287.0,330424995.0,9184427.0,30801883.0,22.968928615818765
201,(주)보령,3850,2021/12,627279390.0,223489129.0,362342033.0,27598892.0,13849336.0,66.58642198165866
202,(주)보령,3850,2022/12,760475845.0,250584308.0,453288659.0,16933656.0,39669222.0,29.91659894042844
203,(주)보령,3850,2023/12,859625586.0,285162833.0,506195732.0,16092403.0,52174618.0,23.57273360441493
204,(주)비와이씨,1460,2020/12,161863377.0,45811649.0,93110794.0,9944851.0,12996083.0,43.34980868695233
205,(주)비와이씨,1460,2021/12,164445894.0,43185383.0,94549165.0,10334849.0,16376497.0,38.69085818438352
206,(주)비와이씨,1460,2022/12,169680337.0,46407310.0,97946674.0,12829187.0,12497166.0,50.65548521731495
207,(주)비와이씨,1460,2023/12,168401524.0,45114431.0,95788699.0,5309052.0,22189342.0,19.306771151798905
208,(주)비지에프,27410,2020/12,154381286.0,52910049.0,86830240.0,4385727.0,10255270.0,29.955111663502148
209,(주)비지에프,27410,2021/12,206770625.0,69251382.0,126019913.0,5481302.0,6018028.0,47.66627273067213
210,(주)비지에프,27410,2022/12,434997440.0,70375399.0,303418248.0,-3209426.0,64413219.0,-5.243835132897727
211,(주)비지에프,27410,2023/12,443173612.0,72540396.0,300087140.0,10795702.0,59750374.0,15.303051015906258
212,(주)비지에프리테일,282330,2020/12,6181269419.0,889551793.0,5129513383.0,40392716.0,121811527.0,24.90237940323176
213,(주)비지에프리테일,282330,2021/12,6781161259.0,977655822.0,5604063733.0,44873477.0,154568227.0,22.49954553135988
